"filename", "language", "C++", "Markdown", "C", "comment", "blank", "total"
"d:\MyWorks\Basics of Programming\week 10\CalculateFofXandN.cpp", "C++", 15, 0, 0, 0, 2, 17
"d:\MyWorks\Basics of Programming\week 10\ImageCompress.cpp", "C++", 166, 0, 0, 1, 17, 184
"d:\MyWorks\Basics of Programming\week 10\README.md", "Markdown", 0, 96, 0, 0, 46, 142
"d:\MyWorks\Basics of Programming\week 10\TooMuchCards.cpp", "C++", 130, 0, 0, 3, 16, 149
"d:\MyWorks\Basics of Programming\week 10\futatabiniCalculate.cpp", "C++", 16, 0, 0, 0, 4, 20
"d:\MyWorks\Basics of Programming\week 11\(Arr)YangHuiTriangle.cpp", "C++", 41, 0, 0, 34, 8, 83
"d:\MyWorks\Basics of Programming\week 11\(Rec)YangHuiTriangle.cpp", "C++", 37, 0, 0, 2, 11, 50
"d:\MyWorks\Basics of Programming\week 11\ChoseSpecialization.cpp", "C++", 60, 0, 0, 3, 14, 77
"d:\MyWorks\Basics of Programming\week 11\ChoseSpeial.c", "C", 0, 0, 58, 4, 12, 74
"d:\MyWorks\Basics of Programming\week 11\FriendCircle.cpp", "C++", 39, 0, 0, 0, 5, 44
"d:\MyWorks\Basics of Programming\week 11\MountainOutline.cpp", "C++", 27, 0, 0, 0, 7, 34
"d:\MyWorks\Basics of Programming\week 11\Pointers.cpp", "C++", 5, 0, 0, 0, 2, 7
"d:\MyWorks\Basics of Programming\week 11\README.md", "Markdown", 0, 67, 0, 0, 36, 103
"d:\MyWorks\Basics of Programming\week 11\RecursionTriangle.cpp", "C++", 38, 0, 0, 0, 7, 45
"d:\MyWorks\Basics of Programming\week 11\SearchFriendError.cpp", "C++", 33, 0, 0, 8, 3, 44
"d:\MyWorks\Basics of Programming\week 11\StringTest.cpp", "C++", 7, 0, 0, 2, 0, 9
"d:\MyWorks\Basics of Programming\week 11\hzx.cpp", "C++", 35, 0, 0, 1, 1, 37
"d:\MyWorks\Basics of Programming\week 12\BankAverageWaitingTime.cpp", "C++", 87, 0, 0, 0, 21, 108
"d:\MyWorks\Basics of Programming\week 12\Calculator.cpp", "C++", 19, 0, 0, 0, 4, 23
"d:\MyWorks\Basics of Programming\week 12\ClosedXor.cpp", "C++", 31, 0, 0, 0, 4, 35
"d:\MyWorks\Basics of Programming\week 12\CountCharacter.cpp", "C++", 22, 0, 0, 0, 5, 27
"d:\MyWorks\Basics of Programming\week 12\CurlProduct.cpp", "C++", 26, 0, 0, 0, 3, 29
"d:\MyWorks\Basics of Programming\week 12\DevideCandy.cpp", "C++", 50, 0, 0, 2, 5, 57
"d:\MyWorks\Basics of Programming\week 12\EnergyRock.cpp", "C++", 15, 0, 0, 0, 4, 19
"d:\MyWorks\Basics of Programming\week 12\FractalSquare.cpp", "C++", 45, 0, 0, 0, 10, 55
"d:\MyWorks\Basics of Programming\week 12\Killing.cpp", "C++", 56, 0, 0, 0, 7, 63
"d:\MyWorks\Basics of Programming\week 12\NSquare.cpp", "C++", 36, 0, 0, 0, 3, 39
"d:\MyWorks\Basics of Programming\week 12\Palindrome.cpp", "C++", 17, 0, 0, 0, 1, 18
