"filename", "language", "XML", "C++", "Log", "Markdown", "comment", "blank", "total"
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\Project3(HenBnb).vcxproj", "XML", 153, 0, 0, 0, 0, 0, 153
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\TODO.md", "Markdown", 0, 0, 0, 4, 0, 4, 8
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\dateinfo.cpp", "C++", 0, 9, 0, 0, 1, 0, 10
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\info.h", "C++", 0, 12, 0, 0, 0, 0, 12
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\landlord.cpp", "C++", 0, 0, 0, 0, 16, 4, 20
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\main.cpp", "C++", 0, 0, 0, 0, 0, -1, -1
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\moneyinfo.cpp", "C++", 0, 44, 0, 0, 0, -1, 43
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\repairinfo.cpp", "C++", 0, 0, 0, 0, 1, 0, 1
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\x64\Debug\Project3(HenBnb).log", "Log", 0, 0, 2, 0, 0, 1, 3
"Total", "-", 153, 65, 2, 4, 18, 7, 249
